ins,tw,text,location1,location2
daphnealbanese,daphnejanee,"Yes, my glass is… https://t.co/sobH1ZwgF5",138.54320275,-35.20836987
frankfilmfuji/,Frank_theTank78,"When it’s your birthday and you’re at work but would rather be at McLaren Vale, eating and… https://t.co/KpdjEwZqy5",138.56666568,-35.20689074
daphnealbanese,daphnejanee,"Honestly, did you even go to Pizzateca if you… https://t.co/iG6rBRx2yy",138.56666568,-35.20689074
maggieunicorn,maggie__magz,@Ashton5SOS udbsnansnebmoood..mdohgfm.odbmmbccmoifsmlvcvm xfhnnc ijxdg  hhvxd moods moods icrsb Im feou,138.5852065,-35.2073401
brotheramos,BrotherAmos,An excellent day spent out in #McLarenVale today.  There ain't no country like wine country 🍷. @… https://t.co/ZzffgZm8We,138.5625,-35.18722
samanthawigan,samanthawigan,"Pics of me in the forest  🌲🌳🍃#happyeaster @ Kuitpo, South Australia, Australia https://t.co/bruQviqNYe",138.683,-35.2333
glennhuntphoto,GlennHuntPhoto,At the cuz's #wedding. @ K1 by Geoff Hardy https://t.co/PYDfH5qAHD,138.67112,-35.22281
kinuyo.m,k_m_1026,"広尾散歩🚶
#ディアシスター#ロケ地#ディアシスターのカフェ#レグランザルブル#appleseed#広尾 @ Appleseed Cafe https://t.co/Lwste2SOeC",138.8934021,-35.2552299
eilidhjackson,eilidh_jax,"🤙🐠 @ Port Noarlunga, South Australia, Australia https://t.co/vbYxNS90Gi",138.467,-35.15
crisduman,Crisduman,"Veraneando...
🏖⚓🌞❤ @ Port Noarlunga, South Australia, Australia https://t.co/EeMDfB4SRG",138.467,-35.15
_joanneling,_joanneling,"Hot summer, ah hot hot summer.
.
.
.
#southaustralia #southaustralianbeaches #instaadelaide… https://t.co/IxlDZqkOXm",138.467,-35.15
crisduman,Crisduman,"Junto a mi alma gemela, mi compañera en la eternidad...😍 @ Port… https://t.co/GLgkwP6MRE",138.467,-35.15
maestro320,Maestro320,"""Just Beautiful""
-
Crisp footage of a gentle Port Jackson Shark filmed on location near Port… https://t.co/kiMCMlCayk",138.467,-35.15
mrbirl/,mrbirl,Just before the street lights are needed - sunset in South Australia 🌅 We sat on the balcony of… https://t.co/MAqxrDOwdq,138.467,-35.15
maestro320,Maestro320,"""Just Beautiful""
-
🔵Maestro's Notes: This crisp footage of a gentle Port Jackson Shark was filmed on location near… https://t.co/VQlYsNGlAk",138.467,-35.15
alvinaaaa,alvinat,the golden hour right here at Port Noarlunga 🌅 #WanderWithALVINAAAA #SeeAustralia #SeeSouthAustralia @ Port Noarlun… https://t.co/EYQl8DtmJb,138.467,-35.15
michaelmedley90,SeymoreSky,#portnoarlunga beach today! Sunburnt! #Noarlunga #southaustralia #adelaide @ Port Noarlunga Jetty https://t.co/kaCEBmUN8e,138.46752348,-35.14892571
michaelmedley90,SeymoreSky,The weekend where it reached 40 degrees and I spent the rest of the week with the biggest sunburn… https://t.co/2cRqDfZngG,138.46752348,-35.14892571
crisduman,Crisduman,Que Dios y la vida nos deparen mas aventuras.... @ Port Noarlunga Jetty https://t.co/TaUD7mYefW,138.46787512,-35.14895583
smcgeough93/,Sean_McGeough14,Mandala at Port Noarlunga #mandala #sand #sandart #encountermarinepark #marine #australia… https://t.co/M5DphiKANv,138.46787512,-35.14895583
smcgeough93/,Sean_McGeough14,Port Noarlunga Jetty #port #portnoarlunga #jetty #australia #southaustralia #adelaide #trip… https://t.co/FfWnlc9Muk,138.46787512,-35.14895583
smcgeough93/,Sean_McGeough14,Noarlunga reef #nofilter #nofilterneeded #portnoarlunga #noarlunga #port #reef #australia… https://t.co/7otagVnu4y,138.46787512,-35.14895583
siettamusic,siettamusic,Merry Xmas from me and Mr Miyagi aka Tatay aka my father. #MrMiyagi #portnoarlunga #Adelaide @… https://t.co/5Mfnse1qwb,138.46835257,-35.14919219
FRIEDCH1CK3N,FRIEDCH1CK3N,wee tb to last week of me n my 2 fav gals💘💘 think my mum took this! #gals #playzaralarsson… https://t.co/nvlGo2yGmA,138.4708,-35.13778
louis_lambeer,Lambert59Louis,Criez pas à Love my Girls https://t.co/PfOQvrLI3v,138.4708,-35.13778
smcgeough93/,Sean_McGeough14,Happy New Year from 🇦🇺! #photography #happynewyear #newyear #scenery #view #australia… https://t.co/vcHq61DZ2o,138.47004376,-35.13624353
ticia_rose,TiciaRose97,Summer loving ✌ #inked #tattooed #tattoos #ink #inkedchick #tattooedLady #beach #australia… https://t.co/mPlrD0yZEN,138.46976458,-35.13349789
jessieheath,jessiebiscuit,"I'm at Becks Bakehouse in Port Noarlunga, SA https://t.co/IZQgP9qFge",138.471843,-35.149332
roseamelia_,ailemha,"Mad props to @googlechrome for inventing #chromecast
#Obbsessed would be an understatement 👌 
@appletv  I still love you too",138.48256807,-35.14874494
fitzy18,FitzySA,Been watching this sunset since we were kids. It never disappoints. theron_75 the_zoil9 semps14 @ Port Noarlunga https://t.co/mZ69MKptPO,138.47862,-35.14645
haleigh_suee/,haleigh_suee,yes i have three turtles 🐢 @ Love Turtles https://t.co/YPzkODZI0T,138.48163,-35.1443156
roseamelia_,ailemha,"""Is that what it's like when you're 32, you have to count down the minutes until it's midnight?"" New Years at home 👍",138.47580577,-35.1356043
jessieheath,jessiebiscuit,"I'm at Fasta Pasta in Christies Beach, SA https://t.co/B2KA36tNgd",138.47719967,-35.13937502
roseamelia_,ailemha,"I gots ma #weed, ma #bong and my #crystals and #candles! #happychap http://t.co/varkrINaTx",138.47768341,-35.13472977
roseamelia_,ailemha,"Because who doesn't love #spraytans 
👀🙊🙊💁💁💁💁💁🙌🙌🙌
#bleckasnight #lifesbetterwhenyoureBrown… http://t.co/MvvXIO60rz",138.477705,-35.134525
roseamelia_,ailemha,"Hmmmm #Shorthair 💇💇💇💇
#summerglow hahahah #instagramfiltersareamazing @ homenigga http://t.co/HHfToeQ4SI",138.477705,-35.134525
roseamelia_,ailemha,"Just mucking around with the #selfiesstick 
Lol johnnymilliken @ homenigga http://t.co/KlrZ2OKAFN",138.477705,-35.134525
roseamelia_,ailemha,#illridewithyou http://t.co/TCG6vt61Lq,138.4780108,-35.13456556
twelvepaldi/,HIMcameron,@NiaLovelis I had a dream that i was a cookie and you ate me. #madatyou,138.5145739,-35.152921
twelvepaldi/,HIMcameron,@NiaLovelis the most relatable thing ever,138.5146295,-35.1529042
twelvepaldi/,HIMcameron,@NiaLovelis the most relatable thing ever,138.5146295,-35.1529042
twelvepaldi/,HIMcameron,@NiaLovelis https://t.co/PiPUexNa0L,138.5146443,-35.152826
twelvepaldi/,HIMcameron,@NiaLovelis sup,138.514672,-35.152827
twelvepaldi/,HIMcameron,@NiaLovelis notice me? no? okay then.,138.5145805,-35.1528039
twelvepaldi/,HIMcameron,@NiaLovelis watch Bob's Burgers?,138.5146426,-35.1528121
twelvepaldi/,HIMcameron,Rewatching Series 9 for the finale #DoctorWho #rad,138.5146448,-35.1527884
twelvepaldi/,HIMcameron,@NiaLovelis sup,138.5146533,-35.1527936
twelvepaldi/,HIMcameron,@NiaLovelis what u doin?,138.514603,-35.1527732
twelvepaldi/,HIMcameron,@NiaLovelis you're a dork but I love you,138.5146589,-35.1527716
twelvepaldi/,HIMcameron,@NiaLovelis you're a dork but I love you,138.5146589,-35.1527716
twelvepaldi/,HIMcameron,@NiaLovelis @renaslegs smooth af,138.51467,-35.1527684
jessieheath,jessiebiscuit,"I'm at Gloria Jean's in Noarlunga Centre, SA https://t.co/3BocAwAlGT",138.495721,-35.141144
harrisonsean,HarryGrindle,"FOH for Cabra's High School Musical tonight.
Nearly died of a heart… https://t.co/Y0TNHxwi27",138.49577953,-35.14078446
hyw92,hyw_22,Never coming home http://t.co/pN87iEGZqb,138.50497344,-35.12574239
hyw92,hyw_22,“@CHlLDHOODRUINER: this ruined me http://t.co/GCAu8jNqfy” NAH FUCK THIS😡😡,138.50490348,-35.1257068
d_burgos99,D_Burgos99,I'm the only owner of my own madness. 😈💢🤘 en Lonsdale https://t.co/SFfGmlQDTa,138.49630322,-35.1171244
amirahsyam,amirahsyam,Nampak muda la yang sorang tu😌😌 @ Hallett Cove Beach https://t.co/MaAlULq0tl,138.49612106,-35.08044117
jeremiboo,jeremiboo,Just smile and watch @ Sugarloaf https://t.co/tdShIoQjdY,138.49690449,-35.07948278
jeremiboo,jeremiboo,Just smile and watch @ Sugarloaf https://t.co/GFkQxTfZpp,138.49690449,-35.07948278
_joanneling,_joanneling,"▶Once upon a time, I fall in love with beach.
●My summer break supposed to be fun and… https://t.co/8xFqs0euJT",138.49666467,-35.07892384
_joanneling,_joanneling,"▶Can you find two tiny objects (hints: plane &amp; human) in this pic?
●I would say... I LOVE SOUTH… https://t.co/wC7tLnufF0",138.49661115,-35.0788609
_joanneling,_joanneling,"We are the 3 musketeers!
●I promise to bring my family here to enjoy this idyllic scenery some… https://t.co/Zh2CiAZSiZ",138.49661115,-35.0788609
_joanneling,_joanneling,"Morning sunshine is always the head start to welcome your new day of life.
●Morning peeps!

#nofilter… https://t.co/4NC2rC1Wce",138.49661115,-35.0788609
_joanneling,_joanneling,"▶The best reward is always worth struggling for. 
●People ask me how I think of studying… https://t.co/mi46Ze6aCR",138.49661115,-35.0788609
brookdtd,brookdtd,"“Today, give yourself a break! Happy Sunday!”
Had an awesome day so far went looked at some… https://t.co/gGvq9OQXyz",138.502,-35.077
isabel_hoo,isabel_hoo98,When the view is 😍😍 #throwback #nofilter @ Hallett Cove Conservation… https://t.co/KCsXAlEpCt,138.499,-35.0736
smcgeough93/,Sean_McGeough14,walking along Hallett Cove #explore #adventure #walk #vacation #trip #holiday #hallettcove… https://t.co/KQfa22UV4z,138.499,-35.0736
smcgeough93/,Sean_McGeough14,A small boat in a big blue sea #walk #walking #explore #exercise #travel #travelblogger… https://t.co/2KopS45T0u,138.499,-35.0736
smcgeough93/,Sean_McGeough14,Hallett Cove #hallettcove #hallettcoveconservationpark #conservationpark #scenery #nature… https://t.co/xmI7yJr5g0,138.499,-35.0736
smcgeough93/,Sean_McGeough14,View of Hallett Cove beach #explore #adventure #walking #trip #travel #travelblogger… https://t.co/N7dcQaxv0A,138.499,-35.0736
_joanneling,_joanneling,"Flashback to my sea of thoughts of 2017.
.
.
.
#southaustralia #southaustralianbeaches… https://t.co/kzqIy6Jx9O",138.499,-35.0736
smcgeough93/,Sean_McGeough14,"Last day at home, back to Japan tomorrow #sunset #pinksky #nature #naturephotography #australia… https://t.co/UaWDuHHuYR",138.499,-35.0736
haffizzul,haffizzul_,Langit petang belum pernah mengecewakan. @ Hallett Cove Conservation Park https://t.co/RmWN2THjBG,138.499,-35.0736
_joanneling,_joanneling,"▶Sometimes we need some personal space to enjoy.
●Counting down for New Year!

#nofilter… https://t.co/27YqInO9Ev",138.50387374,-35.05925064
himynameisnicole_,C0LEYY_,Love the beach in winter 😍💕 @ Brighton Jetty https://t.co/Xkgw8ZQWjL,138.51407982,-35.01734537
jeddobre,jeddobre,#Brighton #BlueSkyApplePie @ Brighton Jetty https://t.co/Hu1eAUGGEi,138.514615,-35.017335
nikasyraaf/,nikasyraaf,"I'm at Brighton Beach in Brighton, SA https://t.co/fKisoCPN7G",138.51482789,-35.01729929
carleetaylor1,carleetaylor1,It's been a while since I've had a birthday at home 😁😁 &amp; whilst I've had a few 'memorable'… https://t.co/iTPwpK6Iye,138.51522,-35.01747
manifestingpeace,testmygandhi,"Nothing like being kissed by God via the ocean! @ Jetty Road, Brighton https://t.co/RvSvgEeSge",138.51548029,-35.0173208
jeddobre,jeddobre,Early morning Hoops! #WhiteMenCantJump #ForRealCantJump #GotTheHopsOfStevenHawking @ Hove Beach https://t.co/LHDm17ZDhY,138.51236359,-35.00886508
eilidhjackson,eilidh_jax,"Oh winter, you're not so bad @ Somerton Beach https://t.co/RbcInh5xdz",138.51088054,-34.99849665
carleetaylor1,carleetaylor1,"Some people u don't see everyday, but when u do it's like a day hasn't passed 😋❤ @ Broadway Beach https://t.co/gVUvvqrGtK",138.50953298,-34.98887423
carleetaylor1,carleetaylor1,Sunday morning's done right 😍 brekky &amp; a ride with these chickas😊😁...oh AND showing off the new… https://t.co/5xzUhyyj0t,138.51538,-34.98798
jonathanlsloan/,JonathanLSloan,Gettin' well around it #radelaide @ Seawall Glenelg https://t.co/hu98ZiYSn5,138.51079993,-34.98500041
kennysingh,KennySingh,@nandeepsingh think of it from a heer's prospective lmao,138.5109738,-34.9850246
kennysingh,KennySingh,"@nandeepsingh Nazran Ton Gir Gayi - Sardool Sikander
https://t.co/o99vSSjWAn",138.5109932,-34.9850337
kennysingh,KennySingh,Lol sending a love song to a girl and her dad likes it more then her. Velhi Jatt to Velhi Jatt connections lmfao. #RanjhagiriAtItsFinest,138.5110745,-34.9850249
kennysingh,KennySingh,"Ishq Haazir Hai - Diljit Dosanjh
https://t.co/YKGbz8aKn7

Test heer waters track lmao #RanjhagiriAtItsFinest",138.511057,-34.984993
jeddobre,jeddobre,That time I found a Geocache with Drake! #TheThugLifeChoseUs #Burke&amp;Wills @ Glenelg http://t.co/tkKUufL9Qq,138.51016667,-34.98233333
jeddobre,jeddobre,#CouldBeWorse @ Glenelg http://t.co/yPlVTT1xZv,138.51016667,-34.98233333
jasonchan15/,JasonCJC,Fresh &amp; Bright. #throwback #nature #sea #vsco #vscocam #jcjctravel @ Jimmy Melrose Park https://t.co/1PPK7ao6qP,138.51075,-34.98074
venetia_11,venetia_11,Days off with @thommmas_1991 mean driving all the way to Glenelg just to get an Acai bowl 😉🍓🍌… https://t.co/QKce30Ywht,138.5133057,-34.980629
jeronmoore,runjeronrun,"I'm at Glenelg Beach in Glenelg, SA https://t.co/3WU3avjuAr https://t.co/YE8XZOgitf",138.51009965,-34.98000138
nikasyraaf/,nikasyraaf,"Strong winds, high waves and albatrosses everywhere 🐦 @ Glenelg Beach https://t.co/WB33CsGeF6",138.51047239,-34.98026775
toucheblye,blyesinfinity,Just posted a photo @ Glenelg Beach https://t.co/JjNtTksoRZ,138.51047239,-34.98026775
toucheblye,blyesinfinity,Just posted a photo @ Glenelg Beach https://t.co/JjNtTksoRZ,138.51047239,-34.98026775
crisduman,Crisduman,Con el mejor horizonte... en Glenelg Beach https://t.co/hlGjPsxh6K,138.51047239,-34.98026775
carleetaylor1,carleetaylor1,Back in the Land Down Under 😍&amp; already back looking like a raccoon 🤔😂 #standard #straya… https://t.co/VZK4JZ9ld0,138.51047239,-34.98026775
jasonchan15/,JasonCJC,"I'm at Glenelg Beach in Glenelg, SA https://t.co/6AtxKP8os5",138.51134579,-34.98026025
nikasyraaf/,nikasyraaf,"I'm at Glenelg Beach in Glenelg, SA https://t.co/R5wKxbfMKZ",138.51134579,-34.98026025
looneylui,looneyLui,"I'm at Glenelg Beach in Glenelg, SA https://t.co/z4AH99dgQi",138.51134579,-34.98026025
nikasyraaf/,nikasyraaf,"Happy 2018 🎇 (@ Glenelg Beach in Glenelg, SA) https://t.co/OpgGrQ3y8M",138.51134579,-34.98026025
syaftriasa/,_syafiqaah,"I'm at Glenelg Beach in Glenelg, SA https://t.co/xW13xehshq",138.51134579,-34.98026025
dsouzamendes,officialdsm,"Sunset, Glenelg Beach, Adelaide-SA #NoFilter #Australia @ Glenelg Beach http://t.co/eAOEhw2EuH",138.51165127,-34.9803282
asdavies,adrienne_davies,🐶 @ Glenelg Beach http://t.co/k9Y1ZpvxVK,138.51165127,-34.9803282
jasonchan15/,JasonCJC,"July 14th 2017 | My face above the water, my feet can't touch the ground, touch the ground, and… https://t.co/LlqfEqWCGZ",138.51171808,-34.98032613
crisduman,Crisduman,"Y si al llegar el ocaso...
Me tomas de la mano...
Me dices ""Yo te… https://t.co/7oguVW2ucn",138.51171808,-34.98032613
frankfilmfuji/,Frank_theTank78,"It may look like a Sundae, but thank God it's Friday.

#pentaxmx #agfavista200  #ishootfilm… https://t.co/QLXbfboLxM",138.51167884,-34.980262
josephinmodbury,almasano,For the first time ever! msfsports bringing the courts - you just gotta bring the game. You may… https://t.co/OGlpnSaJJM,138.51167884,-34.980262
josephinmodbury,almasano,"As I think about the day that was and the future to come, I get excited msfsports @fiba3x3… https://t.co/A6YShyeJ0n",138.51167884,-34.980262
jrmidk,jrmidk,Adélaïde nous voici ! ☀️👌 #aurevoir #melbourne #bonjour #adelaide #southaustralia #sa #jetée #glenelg… http://t.co/XMqmIuhqlA,138.5119228,-34.98041448
jasonchan15/,JasonCJC,"I'm at @CIBOEspresso in Glenelg, SA https://t.co/yzdjKAo8UM",138.51217031,-34.98022114
amirahsyam,amirahsyam,"Holiday and sesi muhasabah diri is all I need right now🌷💐🌻 
#27072015 @ Glenelg Beach https://t.co/Q4AFT1C1nc",138.51160962,-34.9799531
amirahsyam,amirahsyam,"Tak nak balik ke dunia realiti kalau boleh😓 

P/s: gambar ni je yang boleh square tanpa cut gambar… https://t.co/mtuoIxhov0",138.51160962,-34.9799531
_nrathirahh_,_nrathirahh_,Ter @ Glenelg Beach https://t.co/Qyv5lhKZ8H,138.51160962,-34.9799531
fonzortiz,ThePoloOrtiz,🌞 @ Glenelg Beach https://t.co/8gISu6EcyB,138.51160962,-34.9799531
kirari0722,khmh7128,"Finally it's summer 🍉🏄🏊 it's winter when I go back to Japan, though… https://t.co/Ab20otHpej",138.51160962,-34.9799531
mathildehdj/,MathildeHadjadj,🎊 à The Moseley https://t.co/LiNC9lYGK6,138.51188,-34.97992
amirahsyam,amirahsyam,🎡 @ The Beachouse https://t.co/lqeBRt1WMM,138.51173003,-34.97929779
frankfilmfuji/,Frank_theTank78,"Water slide in monochrome.
~
~
#fujix100 #myfujilove #fuji #x100 #fujifilm #blackandwhitephoto… https://t.co/ia4eciUsSk",138.51176262,-34.97921948
jeddobre,jeddobre,It's a good night for our #pingpongathon come down to Mosley square anywhere from 6pm fri-6pm sat....… http://t.co/19eFZK1Kgk,138.51197043,-34.97940292
jeddobre,jeddobre,It's a good night for our #pingpongathon come down to Mosley square anywhere from 6pm fri-6pm sat....… http://t.co/Y0xEldpyyC,138.51197043,-34.97940292
jeddobre,jeddobre,Drake being a thug! #OhBoyOhBoyOhBoy @ Citylight Church Glenelg http://t.co/b9rntpceyw,138.51197043,-34.97940292
jeddobre,jeddobre,#KinIsCute #WellMarried @ Citylight Church Glenelg http://t.co/vDobvCWCk9,138.51197043,-34.97940292
jeddobre,jeddobre,#Cute #WellMarried @ Citylight Church Glenelg http://t.co/JDMyJEx4BN,138.51197043,-34.97940292
irfanhasnol,irfanhasnol,"Cucur ft rendang during sunset coz takkan Melayu hilang di dunia 🌅
#IrfanHasnolTravel #Adelaide… https://t.co/BOuYRwlPaj",138.51021,-34.97907
crisduman,Crisduman,Veraneando... @ Glenalg Beach https://t.co/muSUcKbSRf,138.51021,-34.97907
crisduman,Crisduman,Me alegras el alma stephandresalas 😍 @ Glenalg Beach https://t.co/QaIC8UHdcA,138.51021,-34.97907
crisduman,Crisduman,Summer love... @ Glenalg Beach https://t.co/ppwElPDo0u,138.51021,-34.97907
carleetaylor1,carleetaylor1,"The best nights are always unplanned, random &amp; spontaneous 😜 ohh &amp; with quality humans! Man I've… https://t.co/7Iln8SBI3n",138.51021,-34.97907
mathildehdj/,MathildeHadjadj,🌅 à Glenalg Beach https://t.co/LVfcAZTpsm,138.51021,-34.97907
frankfilmfuji/,Frank_theTank78,"The sea breeze eventually blew this in the right direction...but just for a moment.
~
#pentaxmx… https://t.co/WhbEthmud8",138.51049662,-34.97677513
